User,Session,EER,AUC
1105159,1.0,0.327433628318584,0.6993609608287561
1105159,2.0,0.3653846153846154,0.6403816257586177
1105159,3.0,0.35714285714249255,0.7203712810425376
1105159,4.0,0.3593082005430128,0.7166484679115849
1105159,5.0,0.3809523809519388,0.6623683674791332
1105159,6.0,0.25534395646970176,0.7584181251712296
1105159,7.0,0.30392537893606997,0.7356262082262859
1105159,8.0,0.23636363636363625,0.8187647952513868
1165247,1.0,0.3240541070368035,0.6816551646054512
1165247,2.0,0.2689655172413824,0.7381973784721049
1165247,3.0,0.2011370319540155,0.8019338476694816
1174404,1.0,0.39655172413793105,0.6772019628850707
1174404,2.0,0.3181818181830274,0.7423688360397223
1174404,3.0,0.1822017644807929,0.9022459426213246
1244132,1.0,0.19461077844311386,0.8371463180509212
1244132,2.0,0.1904379268774072,0.8514088323141394
1244132,3.0,0.21167883211678798,0.830462062271073
1244132,4.0,0.24137931034435803,0.7984454483740999
1865189,1.0,0.08163265306122446,0.9591326230315552
1865189,2.0,0.12693741416428342,0.9220450422301184
1865189,3.0,0.1251716696090333,0.9229441883024874
1865189,4.0,0.15283500098027758,0.8857605747468189
1961295,1.0,0.1658686075460419,0.8886342313797928
1961295,2.0,0.2988505747126438,0.7601793816748013
1961295,3.0,0.26259337291852974,0.8017254377778774
1961295,4.0,0.038115303581243015,0.9932809806550469
1961295,5.0,0.25799655238456876,0.7984349803214067
1961295,6.0,0.16127178701495024,0.8752793206920768
1961295,7.0,0.10994062440175462,0.9543694996925371
1961295,8.0,0.196322543573539,0.8861771249244914
1988613,1.0,0.2918538777101566,0.7509614042921329
1988613,2.0,0.09728462590431619,0.9442362677369515
1988613,3.0,0.3674545809727832,0.6699926367830256
1988613,4.0,0.20668099238271675,0.8555056326105359
1988613,5.0,0.5204141433875493,0.46868529009572185
1988613,6.0,0.375,0.7002588396171128
1988613,7.0,0.08263332682111216,0.9867894119945302
1988613,8.0,0.27935143582821614,0.7460441492479
2346653,1.0,0.26694915254237417,0.8022132964532329
2346653,2.0,0.21952160493827105,0.8547273292477131
2346653,3.0,0.028935185186255694,0.995814250630559
2346653,4.0,0.12191358024613261,0.9460883916323731
2346653,5.0,0.05454545454520727,0.9901059203142536
2346653,6.0,0.14814814814850408,0.9213914609053497
2346653,7.0,0.09999999999999995,0.9678461199294534
2346653,8.0,0.18557098765458355,0.9027150267737618
2633840,1.0,0.31333333333333335,0.7500270374662031
2633840,2.0,0.26902278872078994,0.8023785340638694
2633840,3.0,0.2226728466581282,0.8189543172161944
2633840,4.0,0.15585168018630785,0.8934893404553976
2633840,5.0,0.22730784086517036,0.8442126947341316
2633840,6.0,0.433758207801708,0.657745142492485
2693592,3.0,0.2081038552321102,0.8284365516466224
2693592,4.0,0.3853265145554433,0.646946680384918
2693592,5.0,0.25252525252525254,0.7516868130558139
2693592,6.0,0.17289535798596892,0.8818077162564621
2693592,7.0,0.22875816993464035,0.8132151103294715
2693592,8.0,0.3479543666406012,0.7078282138976755
2722493,1.0,0.18936940369475275,0.8612366556817982
2722493,2.0,0.3333333333333333,0.7217594116050964
2722493,3.0,0.3,0.8175271480281958
2722493,4.0,0.30000000000000104,0.7497237569060773
2750057,6.0,0.4878048780487804,0.5493678943697899
2750057,7.0,0.2777777777777778,0.7747340028572038
2750057,8.0,0.3507963922468447,0.719867427876927
2886837,1.0,0.1984172939581294,0.8690548221787039
2886837,2.0,0.22077922077922157,0.8725951716687096
2886837,3.0,0.21366531557516347,0.8755004726342306
2886837,4.0,0.17506272920186888,0.9206716850028952
3084978,1.0,0.22322283962587458,0.8394683244271288
3084978,2.0,0.1408315769309833,0.9105125334893086
3084978,3.0,0.20833333333309378,0.8766007217219135
3084978,4.0,0.14090131203650885,0.9021555853611803
3130601,2.0,0.3484032320132838,0.7028304155444401
3130601,3.0,0.39996152366290383,0.5863676460927748
3130601,4.0,0.34426229508197626,0.6837371246191788
3695167,1.0,0.24260355029475525,0.8038980329970977
3695167,2.0,0.05210918114120153,0.9730730720674563
3695167,4.0,0.05405405405411833,0.9508519781472635
3695167,5.0,0.32162626455497956,0.6917570881113542
3695167,6.0,0.3057835464801527,0.7348539797671312
3695167,7.0,0.2185531589987003,0.8422663358147229
3695167,8.0,0.28745943882338804,0.7834128650505823
3695167,9.0,0.279442641726353,0.7553335193151953
3726809,1.0,0.3666666666666693,0.6848343191502894
3726809,2.0,0.33333333333333504,0.7439101952553584
3726809,3.0,0.3076923076919716,0.698985807171268
4148061,1.0,0.14831074632503954,0.8489597251383851
4148061,2.0,0.15632754342480032,0.8884710822676083
4148061,3.0,0.12693262072768707,0.9194568587055965
4148061,4.0,0.12387860278722138,0.9077386633217899
4179044,1.0,0.167120622567254,0.8711330739299611
4179044,2.0,0.11111111111111417,0.9116015456117597
4179044,3.0,0.3147859922180316,0.717952784226531
4372737,1.0,0.2848531985223725,0.7920725861063246
4372737,2.0,0.11821893836305586,0.9501110349273924
4542213,1.0,0.3494536624837703,0.6805926772539479
4542213,2.0,0.06475111291065118,0.9728799529082816
4542213,3.0,0.22177256171509382,0.8464478359934139
4542213,4.0,0.2074059085387911,0.8386954644650386
4542213,5.0,0.30048563334657835,0.761695253987349
4542213,6.0,0.3269931201936672,0.7318248145363184
4542213,7.0,0.3441926345622866,0.6918481295961919
4542213,8.0,0.3065015479876161,0.7303770173642739
4542213,9.0,0.06252529340496628,0.9690839130742004
4542213,10.0,0.2428166734112398,0.786754476932416
5150547,1.0,0.2138037401187445,0.8572768084046279
5150547,2.0,0.13861577019396987,0.9162917978707453
5150547,3.0,0.10810810810811303,0.9351380009274747
5150547,4.0,0.20320030846255366,0.8499543542113202
5254922,1.0,0.2836631742331178,0.774176755119281
5254922,2.0,0.18095238095232838,0.8730713084612969
5254922,3.0,0.185875048506037,0.8861563833915405
5254922,4.0,0.3488372093023254,0.743897266516862
5254922,5.0,0.027551416375720138,0.9900077609623593
5254922,7.0,0.31102056654956306,0.7836670290162338
5254922,8.0,0.3294528521538247,0.7224818069221405
