User,Session,EER,AUC
1105159,1.0,0.05730659025787971,0.976931605597333
1105159,2.0,0.29302832244008714,0.7885364405883836
1105159,3.0,0.3461538461538404,0.7052684706976833
1105159,4.0,0.14204545454545459,0.9630947472669467
1105159,5.0,0.32258064516129037,0.7407839487925094
1105159,6.0,0.30699457639633565,0.7002624259377896
1105159,7.0,0.06330652702384917,0.964815562349203
1105159,8.0,0.30101151028950124,0.7692511775783857
1165247,1.0,0.04838709677438442,0.9604124007082727
1165247,2.0,0.0,1.0
1165247,3.0,0.23121387283258787,0.8311442108789635
1174404,1.0,0.2342590046738086,0.8178460041682054
1174404,2.0,0.09848484848486677,0.9553762119406882
1174404,3.0,0.21702868664570957,0.8679769456420776
1244132,1.0,0.04810065461187119,0.9701415261878091
1244132,2.0,0.34175568973370557,0.7847818169059736
1244132,3.0,0.011333023686247602,0.9997499854853693
1244132,4.0,0.11145895145381997,0.9438854538131911
1865189,1.0,0.46815107102610287,0.5761252294584639
1865189,2.0,0.026305900037981424,0.9933229823902108
1865189,3.0,0.34316150123416533,0.6750742272117329
1865189,4.0,0.2649995419987176,0.7977236655365179
1961295,1.0,0.06722689075630248,0.9736403124304948
1961295,2.0,0.2616539976195653,0.793580966839736
1961295,3.0,0.027749793936108456,0.9765699832456107
1961295,4.0,0.12605042016806933,0.9412668996529833
1961295,5.0,0.21586225844732065,0.857208101763705
1961295,6.0,0.056521739130474154,0.9684520799404308
1961295,7.0,0.14516129032258066,0.9332592787357934
1961295,8.0,0.039473684210526286,0.9781428798665773
1988613,1.0,0.2512820512820513,0.8435762707056954
1988613,2.0,0.1727272727272727,0.9173756368999733
1988613,3.0,0.3222713864299576,0.7374809990367828
1988613,4.0,0.2880570375772464,0.7538624631268436
1988613,5.0,0.2868705035971196,0.8131952943576225
1988613,6.0,0.4012210816149403,0.619488863373287
1988613,7.0,0.2704306337166626,0.8207436976013042
1988613,8.0,0.2738453599380752,0.8696775622346931
2346653,1.0,0.6309702895829997,0.35474650548470565
2346653,2.0,0.13995485327313778,0.9398226518056568
2346653,3.0,0.1839562366643624,0.8829968679484769
2346653,4.0,0.006042296072509056,0.9983049359809756
2346653,5.0,0.12149625583423097,0.9185686050632981
2346653,6.0,0.04672643303448714,0.9717732322564966
2346653,7.0,0.18812929027479697,0.8763381047302805
2346653,8.0,0.0,1.0
2633840,1.0,0.2179384744672859,0.8459032103646495
2633840,2.0,0.2465102009512201,0.8242360831591555
2633840,3.0,0.0001842808449818967,0.9999428881681798
2633840,4.0,0.54150926011221,0.49221184513770416
2633840,5.0,0.19782548604040617,0.9221129925082748
2633840,6.0,0.1437125748502994,0.9256641972665745
2693592,1.0,0.057142857142857134,0.9858579526160437
2693592,2.0,0.1594202898550729,0.9314109477838638
2693592,3.0,0.22837813128492881,0.8524052027891853
2693592,4.0,0.21232876712326357,0.9184982854795524
2693592,5.0,0.06666666666666969,0.9403688212348389
2693592,6.0,0.21695008228093657,0.853014849402471
2693592,7.0,0.0510204081630697,0.9879254499386151
2693592,8.0,0.13414634146333643,0.9559914194863287
2722493,1.0,0.061712498851667824,0.9697829777545053
2722493,2.0,0.23571367190856748,0.8348117701612574
2722493,3.0,0.1999999999995377,0.8697310120590129
2722493,4.0,0.22440908672814217,0.8324479689981874
2750057,1.0,0.18419605681600185,0.8835535644007397
2750057,2.0,0.04651162790738544,0.9764852197377086
2750057,3.0,0.19056374018444058,0.8881236061467022
2750057,4.0,0.2318760883521327,0.7838227527493923
2750057,5.0,0.29988085418457083,0.6703114619724975
2750057,6.0,0.20863287437553307,0.8544819568856151
2750057,7.0,0.2334819901872518,0.8501764274585281
2750057,8.0,0.007575757575757955,0.998017013689271
2886837,1.0,0.10211946050096347,0.9074661504024106
2886837,2.0,0.5359801488833746,0.43199002049338053
2886837,3.0,0.2553763440860227,0.7901774783026654
2886837,4.0,0.08571428571428573,0.9707597954997449
3084978,1.0,0.177595839448006,0.8877887510415229
3084978,2.0,0.2323666978465899,0.8496997028071889
3084978,3.0,0.2411816343902958,0.8838235216396337
3084978,4.0,0.2365414264297465,0.842836359203619
3130601,1.0,0.02654867256637184,0.9919924455194801
3130601,2.0,0.059770668087459004,0.9598835894880324
3130601,3.0,0.2227932557929853,0.8553970292891295
3130601,4.0,0.28837508028357195,0.7532748396986977
3695167,1.0,0.2393210522081892,0.8214858111025343
3695167,2.0,0.03703703703706583,0.9823065807817157
3695167,3.0,0.16483096221508337,0.9013188020881032
3695167,4.0,0.3270687169047706,0.6984863182382578
3695167,5.0,0.2483776335673424,0.8513093662145774
3695167,6.0,0.18833241725286864,0.8711123966473858
3695167,7.0,0.08430379746835444,0.9375369690826573
3695167,8.0,0.024193548387097717,0.9904472523479344
3695167,9.0,0.30836157157310873,0.7171511283754655
3726809,1.0,0.08487084870850044,0.9551352647220233
3726809,2.0,0.23846153846153845,0.8224844751143661
3726809,3.0,0.10294117647058862,0.9616640434236556
4148061,1.0,0.24074074074074758,0.8170655951420587
4148061,2.0,0.37239224336023735,0.7129373360762938
4148061,3.0,0.05797101449275412,0.9862158342756753
4148061,4.0,0.08928571428571436,0.937094640723673
4179044,1.0,0.19808511880436688,0.8688119771827856
4179044,2.0,0.23952095808383236,0.8444044950713283
4179044,3.0,0.3873873873873874,0.6241470614412437
4372737,1.0,0.06177606177609658,0.9651979059252795
4372737,2.0,0.16455696202531653,0.8413238933519509
4372737,3.0,0.28582910321488997,0.8346057745696835
4542213,1.0,0.26746506986027935,0.7634503995278943
4542213,2.0,0.22768981648074346,0.9300674696659246
4542213,3.0,0.22802197802197796,0.8649167740246675
4542213,4.0,0.5828546863949634,0.5510073227847696
4542213,5.0,0.6457564575645758,0.4498480725115518
4542213,6.0,0.07463801961796263,0.9520207059135668
4542213,7.0,0.2083061178083029,0.8645778128243147
4542213,8.0,0.404911123238147,0.5978027818627603
4542213,9.0,0.20665691275876358,0.8726585542902925
4542213,10.0,0.04102564102564115,0.9857084515982227
5150547,1.0,0.23989979248020862,0.8299834614465718
5150547,2.0,0.21710354436993817,0.8488269930199155
5150547,3.0,0.2231845436375796,0.909430845624512
5150547,4.0,0.24008952301021122,0.7836283287174907
5254922,1.0,0.2753756799105077,0.8239100413413878
5254922,2.0,0.10204081632653265,0.9385034044963058
5254922,3.0,0.006914354199658416,0.9980514850033488
5254922,4.0,0.2712384326107325,0.8435225883773423
5254922,5.0,0.06284722222222222,0.9642758366368581
5254922,7.0,0.26908105550657,0.8568033466985658
5254922,8.0,0.42329614281160344,0.6557662050788298
5254922,9.0,0.009090909090909037,0.9976097287058843
5254922,10.0,0.09462958322893177,0.947450908085185
5254922,11.0,0.021111828155101268,0.9954159962131806
5286985,1.0,0.08146794578955384,0.9674866865098147
5286985,2.0,0.2553191489359024,0.7322259227656822
5286985,3.0,0.18857142857142867,0.931683343453811
5286985,4.0,0.028776978417266202,0.9879512025197805
5286985,5.0,0.13372093023255802,0.9616427883768207
5286985,6.0,0.21666666666657022,0.8312580853816299
5286985,7.0,0.04072398190046029,0.9885140542434507
5362628,1.0,0.5845468880424736,0.4004557721218146
5362628,2.0,0.21999453203317232,0.864051195390038
5362628,3.0,0.5806451612903225,0.44360239489424347
5362628,4.0,0.06015037593984962,0.9789709409410736
5362628,5.0,0.4218749999999474,0.6852885960640633
5362628,6.0,0.24417793007170507,0.8231747469218891
5362628,7.0,0.5872630917093327,0.49443175493924496
5577693,1.0,0.020798668884402613,0.9979088905877592
5577693,2.0,0.032258064516279564,0.9803208170713941
5577693,3.0,0.07144787818722408,0.9652615352427646
5577693,4.0,0.10222222222272218,0.9399324171648076
5577693,5.0,0.24714568649152444,0.7816902084788939
5577693,6.0,0.19293902218718695,0.8629266233721771
5865581,1.0,0.23791821561338217,0.8891188512560633
5865581,2.0,0.10489510489510614,0.9434909563444267
5865581,3.0,0.006793977230067643,0.9985882369558462
5865581,4.0,0.2582781456953697,0.8486269769659
5865581,5.0,0.2176165803108961,0.8170961146556202
5865581,6.0,0.10909090909090915,0.9526065836477147
5865581,7.0,0.018181818181818774,0.9919023136246786
5865581,8.0,0.5009435513550338,0.40955799305704726
5865581,9.0,0.03225806451613066,0.9763533657927885
5957492,1.0,0.010152284263961737,0.9969553452193534
5957492,2.0,0.11248500507493983,0.9276552551444127
5957492,3.0,0.38349514563106807,0.700141595092684
6200741,1.0,0.020671834625322974,0.9993144250909862
6200741,2.0,0.11068702290076422,0.9446974131406558
6200741,3.0,0.21583735610915308,0.8678093608823203
6200741,4.0,0.1260053619302707,0.9526326321144383
6200741,5.0,0.18114296485118297,0.843688497957668
6289350,1.0,0.2359851870770014,0.8400938978762762
6289350,2.0,0.11920529801324505,0.9625982880477173
6289350,3.0,0.35378125411961153,0.6703797616244151
6289350,4.0,0.2449739389426657,0.8155292064378742
6362291,1.0,0.22007595535283175,0.9332933479504174
6362291,2.0,0.2620575829814751,0.8028102792141472
6362291,3.0,0.027777777777777797,0.9783006805631966
6362291,4.0,0.269117916744369,0.8075217508495416
6638682,1.0,0.05655526992287913,0.9563934773235261
6638682,2.0,0.12380952380951794,0.9610082508033215
6638682,3.0,0.2143450567718531,0.8668839294975929
6638682,4.0,0.197749488838473,0.8652454263549989
6638682,5.0,0.6544816763581482,0.3643295579403042
6638682,6.0,0.001015415859317591,0.9999785475522758
6700716,1.0,0.14814814814814814,0.918733447418816
6700716,2.0,0.02816901408434991,0.9718103265725633
6700716,3.0,0.12222222222222273,0.9539782218962637
6700716,4.0,0.015218188486461014,0.9950612582625784
6700716,5.0,0.262970820819527,0.842561113541073
6700716,6.0,0.1777777777777779,0.937950230208206
6700716,8.0,0.23491431329954138,0.9026337157525276
6700716,9.0,0.2919741277215997,0.8170376216365598
6708958,1.0,0.32704402515723274,0.7788088749767714
6708958,2.0,0.280510185354632,0.7881852791159999
6708958,3.0,0.3441558441558441,0.682213822147755
6708958,4.0,0.25806451612903225,0.9023046548937655
6708958,5.0,0.008808955773444252,0.9992336461609532
6708958,6.0,0.4074142044411494,0.5669560538474887
6708958,7.0,0.3832813360251191,0.6154190198189964
6708958,8.0,0.01851851851840229,0.9863685487653188
7114382,1.0,0.00863415082167859,0.9968214704544143
7114382,2.0,0.26920936031883863,0.886930071857049
7114382,3.0,0.037634408602518786,0.9673693395793148
7114382,4.0,0.2597402597402597,0.8879698651674404
7114382,5.0,0.3217821782178218,0.773387189917669
7114382,6.0,0.023255813953489874,0.9938383948425795
7114382,7.0,0.046774359002047995,0.9879334744674333
7114382,8.0,0.24966974900924702,0.8822113176618549
7310944,1.0,0.2622950819672131,0.8951576950558021
7310944,2.0,0.20125786163533932,0.8774627332429897
7310944,3.0,0.0486111111111259,0.9820582668303662
7310944,4.0,0.468497543648158,0.6064821776891476
7316795,1.0,0.045045045045044994,0.976549643444871
7316795,2.0,0.021857923496814632,0.99181676753325
7316795,3.0,0.0682761841059138,0.9838368757066076
7316795,4.0,0.22754491017930284,0.8546812025975477
7316795,5.0,0.2480000000000019,0.9037919180837448
7316795,6.0,0.19510699415808666,0.8703252557194023
7316795,7.0,0.00841104406609891,0.999838918928332
7316795,8.0,0.18549718565877812,0.8797765163388449
7373019,1.0,0.3378366042902194,0.7769300014687326
7373019,2.0,0.4402555910537662,0.5895549446467048
7373019,3.0,0.10769230769230766,0.9708025839974722
7373019,4.0,0.2593232315301876,0.8056157190342494
7373019,5.0,0.0608695652175031,0.9647629631099557
7373019,6.0,0.022727272726914854,0.9830437533712293
7373019,7.0,0.19468978829142528,0.8695195271340106
7620603,1.0,0.0013846579904211375,0.9999800193652313
7620603,2.0,0.03333333333333258,0.9810572193430128
7620603,3.0,0.017539001201030587,0.9975810444517174
7620603,4.0,0.343210560324176,0.7874228590843472
7620603,5.0,0.5294117647058825,0.35580092335594316
7688576,1.0,0.01970534069998147,0.9938357260180465
7688576,2.0,0.2502506362304311,0.804294789515784
7688576,3.0,0.1892202686193886,0.8748081331980306
7688576,4.0,0.360655737704918,0.7349993458724552
7688576,5.0,0.20020825207625415,0.8507429724971162
7688576,6.0,0.08074534161491427,0.9486937076055499
7847405,1.0,0.24159970781568563,0.7948864274877789
7847405,2.0,0.010989010989010952,0.9971875275929329
7847405,3.0,0.23128195763393633,0.9133435410462437
7847405,4.0,0.25379979420843746,0.8364263133314971
7847405,5.0,0.11111111111111127,0.9646403159916673
7847405,6.0,0.5000228279231156,0.49995434623813
7847405,7.0,0.2280701754385966,0.8252093665500493
7847405,8.0,0.023255813953488396,0.9958895688586135
8348481,1.0,0.006289308176100628,0.99872530496034
8348481,2.0,0.027638190954769628,0.9863158663645871
8348481,3.0,0.23804357653015099,0.9195243618068288
8348481,4.0,0.07692307692310647,0.9728177913457102
8503192,1.0,0.20565738201760608,0.8667289166462568
8503192,2.0,0.2000182409977826,0.8659048596210309
8503192,3.0,0.19157066802403191,0.8662546514659525
8503192,4.0,0.024246877295585282,0.9950412658271107
8555844,1.0,0.014354066985658082,0.9935658049769738
8555844,2.0,0.21951219512195122,0.8343334327267347
8555844,3.0,0.20979020979026977,0.8391830157157852
8555844,4.0,0.04109589041109843,0.9657606649483043
8555844,5.0,0.2763121610430964,0.802167705444661
8573429,1.0,0.20854271356783907,0.9105627951877755
8573429,2.0,0.247252231093296,0.8769105373117199
8573429,3.0,0.13496932515321103,0.9518706037282402
8573429,4.0,0.21249412869929862,0.8311551957560854
8635407,1.0,0.030973451327433725,0.9889912248424862
8635407,2.0,0.2970848944518354,0.7823799080081635
8635407,3.0,0.3111728339754502,0.7942063419537604
8635407,4.0,0.669103536506984,0.29283286118980173
8746874,1.0,0.13310580204778705,0.8985320013876008
8746874,2.0,0.008333333333333172,0.9995507440201685
8746874,3.0,0.043209876543209895,0.9690321816620777
8746874,4.0,0.04975124378109449,0.982020812741311
8746874,5.0,0.21745415810697707,0.8577578615074042
8746874,6.0,0.02213613724330394,0.9942515218594355
8746874,7.0,0.3677365799665165,0.6305658914164216
8746874,8.0,0.005257332594844755,0.9995095855773167
8822529,1.0,0.1958570412517781,0.8698880976602238
8822529,2.0,0.20408855712952753,0.8621270995902018
8822529,3.0,0.20008869015724026,0.8954094608341812
8822529,4.0,0.2316313823163138,0.815504897386992
8822529,5.0,0.20000000000031073,0.8697031351151392
8822529,6.0,0.37168141592920356,0.5772992031060613
8822529,7.0,0.19541292888275202,0.8680782671811988
8822529,8.0,0.21004859919954258,0.8451453019266273
8822529,9.0,0.24725774885075782,0.8032989678285799
8824899,1.0,0.04188481675393336,0.9634917549611202
8824899,2.0,0.37244897959212275,0.7081662659550128
8824899,3.0,0.22608893956670467,0.9192863364311228
8824899,4.0,0.19895386228096268,0.8628588494761992
9242542,1.0,0.19999999999999993,0.8777675106265016
9242542,2.0,0.4210526315788634,0.6965230758891819
9242542,3.0,0.018518518518904774,0.9900377260769672
9242542,4.0,0.4117647058823431,0.7252663628890704
9259884,1.0,0.22962080967187684,0.9124429071731641
9259884,2.0,0.2429906542056075,0.8419310561483824
9259884,3.0,0.030683275325250094,0.9897537229841532
9259884,4.0,0.236764975269731,0.7996506221128392
9259884,5.0,0.06696428571428636,0.9756952395127313
9259884,6.0,0.1911623603389042,0.8813969382809945
9259884,7.0,0.24445869206809528,0.8692734933137938
9259884,8.0,0.006578947368418875,0.9996541201878115
9274838,2.0,0.23531534710637753,0.8522417242633685
9274838,3.0,0.07153584504355416,0.9858381771321099
9274838,4.0,0.07826086956521737,0.9757453303177439
9274838,5.0,0.25936704256143944,0.7807421774833173
9274838,6.0,0.3740458015267143,0.7135689869182131
9274838,7.0,0.25925925925892956,0.8271000060628108
9333707,1.0,0.00018293240716521554,0.999992682703741
9333707,2.0,0.2214133314576446,0.8453537027824317
9333707,3.0,0.08510638297872355,0.97651361970688
9333707,4.0,0.2172012975310867,0.941471608059004
9333707,5.0,0.09090909090909224,0.9366063619657825
9333707,6.0,0.28391208398358275,0.769475265427886
9333707,7.0,0.029411764705882342,0.9786305357229327
9333707,8.0,0.010204081632653097,0.997397879850742
9333707,9.0,0.18063139291579483,0.8699775907802066
9417614,1.0,0.23838506935410989,0.8169136438333948
9417614,2.0,0.27989348011784987,0.7873301191722976
9417614,3.0,0.41525423728813543,0.5432489085175095
9417614,4.0,0.023598820059249924,0.9892280111269163
9707394,1.0,0.2981190650117205,0.8025899210020832
9707394,2.0,0.020202020202020245,0.9970637099015477
9707394,3.0,0.10402684563799332,0.925306462366593
9707394,4.0,0.23119777158774574,0.8460976079972166
9707394,5.0,0.711924762599375,0.34898854241748467
9707394,6.0,0.21452115812917594,0.8727910602910603
9707394,7.0,0.12121212121212117,0.9620164159860106
9707394,8.0,0.22999999999999973,0.9207272644265888
9707394,9.0,0.2499285451798488,0.8166464627740602
9707394,10.0,0.19326073370596858,0.8667671049427806
9707394,11.0,0.19568100229155455,0.8621292058528123
9733371,1.0,0.3609756097560975,0.7689970699301014
9733371,2.0,0.36360770226568134,0.6189984094763574
9733371,3.0,0.0778741465212143,0.967104872549885
9733371,4.0,0.001014947407787772,0.9999807076112668
Mean,,0.19172000276546772,0.8622053817734775
