User,Session,EER,AUC
1105159,1.0,0.30721393034766137,0.7721116639027087
1105159,2.0,0.12313432835955365,0.9340064383962541
1105159,3.0,0.25,0.8051409618573797
1105159,4.0,0.26119402984971957,0.8252487562189055
1105159,5.0,0.0,1.0
1105159,6.0,0.0,1.0
1105159,7.0,0.2272727272726902,0.8813319764812302
1105159,8.0,0.0,1.0
1165247,1.0,0.09925558312577148,0.9411290322580645
1165247,2.0,0.21836228287813464,0.8877466619402102
1165247,3.0,0.08560794044678638,0.9554125310173698
1174404,1.0,0.16666666666666632,0.9303178484107579
1174404,2.0,0.07946210268979748,0.9648533007334963
1174404,3.0,0.07701711491466053,0.9407090464547677
1244132,1.0,0.17942283563300304,0.9161628835405498
1244132,2.0,0.17314930991107758,0.9210037641154329
1244132,3.0,0.08531994981107546,0.9564900635447444
1244132,4.0,0.1053952321198853,0.9517834737408137
1865189,1.0,0.008674101611663277,0.9977970535591354
1865189,2.0,0.0334572490700019,0.9965303593556382
1865189,3.0,0.006195786866771703,0.9994689325544345
1865189,4.0,0.006195786865444378,0.9991738950846758
1961295,1.0,0.006165228114713803,0.9991032395471359
1961295,2.0,0.01972872996346624,0.9909987669543773
1961295,3.0,0.006165228114296014,0.9987669543773119
1961295,4.0,0.017262638718022496,0.9928757364022469
1961295,5.0,0.006165228114110706,0.9985614467735306
1961295,6.0,0.044389642415853164,0.9933650402207739
1961295,7.0,0.054254007397672444,0.9883421141127677
1961295,8.0,0.003699136868508017,0.998612823674476
1988613,1.0,0.20000000000031073,0.9083743842364531
1988613,2.0,0.050492610837441165,0.9867610837438424
1988613,3.0,0.19999999999999707,0.9011083743842365
1988613,4.0,0.023399014779163254,0.9905582922824301
1988613,5.0,0.2222222222222221,0.9117405582922825
1988613,6.0,0.11576354679881036,0.9690749863163657
1988613,7.0,0.2192118226592037,0.8620689655172413
1988613,8.0,0.16256157635352142,0.9286945812807882
2346653,1.0,0.16876574307242523,0.8931150293870697
2346653,2.0,0.1612903225806452,0.9146827009019257
2346653,3.0,0.13979848866567998,0.9231738035264483
2346653,4.0,0.17632241813780447,0.9091939546599497
2346653,5.0,0.19143576826229092,0.91252576139226
2346653,6.0,0.1785714285714286,0.9144926232457719
2346653,7.0,0.1926952141058754,0.9063811922753987
2346653,8.0,0.18261964735567346,0.9085947637584918
2633840,1.0,0.16728624535272107,0.9039866683758492
2633840,2.0,0.06939281288844347,0.9263940520446097
2633840,3.0,0.14498141263852904,0.9521234651346175
2633840,4.0,0.0625,0.9842007434944238
