User,Session,EER,AUC
1105159,,0.387941607375829,0.6721146421088385
1165247,,0.35660534289165696,0.6129072656143877
1174404,,0.81777815013505,0.2049521376602897
1244132,,0.5065947242206263,0.5222375265226986
1865189,,0.37590685176279726,0.6822887698998262
1961295,,0.6001531980084273,0.39710685812208113
1988613,,0.5804789529610226,0.46091567515118953
2346653,,0.4197646687475888,0.65220522886473
2633840,,0.6123546538582794,0.31467992072449985
2693592,,0.5004626045566989,0.5517022445339981
2722493,,0.38044900631130396,0.6790440421939906
2750057,,0.39368157869430764,0.7045000001188148
2886837,,0.6576007770762503,0.3626559739685663
3084978,,0.41319333631199334,0.6218907209028345
3130601,,0.34196128119785074,0.7506493210070384
3695167,,0.4780610112829077,0.5080570411071406
3726809,,0.467394362700475,0.5601442917848065
4148061,,0.755258321896299,0.29795920158097167
4179044,,0.4455772033988694,0.6024979617661433
4372737,,0.23978072290964123,0.8848384673874743
4542213,,0.43282026255779443,0.5801884897221941
5150547,,0.39291687206049597,0.6158155620094348
5254922,,0.4531841807726543,0.5938127732035068
5286985,,0.46980607985278233,0.5022914685272274
5362628,,0.47075286226535273,0.5613017664417073
5577693,,0.5179063360881542,0.4633301692329365
5865581,,0.5534643576214504,0.45872098389601423
5957492,,0.3876094976667181,0.6356770432775283
6200741,,0.43857034404500683,0.5901198194634584
6289350,,0.4125125630994089,0.601221372380905
6362291,,0.3217664474684016,0.772119327400718
6638682,,0.4461786867599569,0.5567384895574627
6700716,,0.5841058232901573,0.4514273415199228
6708958,,0.59200155777683,0.3981801117013978
7114382,,0.5557766384672125,0.48086651467454544
7310944,,0.4605691903987787,0.6054124475255567
7316795,,0.41794274714938884,0.5877916573261277
7373019,,0.5063409712584639,0.47951109305060635
7620603,,0.5108795248976302,0.5258423098812529
7688576,,0.371229981799385,0.7037770763764737
7847405,,0.614669421487604,0.3938086402755656
8348481,,0.4275153420854802,0.6513069183552356
8503192,,0.4281324565482891,0.5298093248469811
8555844,,0.41388139068958685,0.540354731889491
8573429,,0.6119402985072266,0.3513014933022892
8635407,,0.5795924820272274,0.42418680803092285
8746874,,0.5075209981425093,0.5095682317623722
8822529,,0.36281262325733055,0.6708031545586151
8824899,,0.40491995830364,0.6507623104031818
9242542,,0.4620087336244567,0.558277296853154
9259884,,0.5402735505763464,0.4819195601763272
9274838,,0.5027033846375663,0.5136752257455498
9333707,,0.47507089596187474,0.5505909697612184
9417614,,0.4815599017988336,0.5949296107027949
9707394,,0.4186175329098502,0.6356561671294497
9733371,,0.6083086053412156,0.3273404984981573
Mean,,0.47976537245523104,0.5462818580442964
