User,EER,AUC
1105159,0.2383177127249635,0.8471861079843905
1165247,0.3223938223938223,0.7653703319582681
1174404,0.40773942508278493,0.6409039473470586
1244132,0.21342925659472808,0.868872479104249
1865189,0.3706811451134364,0.6553727828160208
1961295,0.35533805292852505,0.7078437660549877
1988613,0.20953660174622565,0.8850583863956341
2346653,0.11560409287686624,0.9599280786401756
2633840,0.21994347621291574,0.858815816662075
2693592,0.2113347557631396,0.8697147174080672
2722493,0.09030837004405284,0.9744630838421505
2750057,0.17330559987953917,0.9143858939438846
2886837,0.15958482611200683,0.9183134351182545
3084978,0.271698113207558,0.8159828725025309
3130601,0.2369791666666746,0.8550791817160542
3695167,0.2599247806101136,0.8209746370769669
3726809,0.2694620253170995,0.8084889171731546
4148061,0.20214190093707504,0.8924318331099603
4179044,0.3429538753462609,0.709115363910598
4372737,0.25,0.8228959959941395
4542213,0.2758064024846637,0.8127881317721292
5150547,0.3125035233115999,0.7656892604873274
5254922,0.2750075982078022,0.8038013323030901
5286985,0.24858511101436653,0.8350339116471408
5362628,0.06442558374143495,0.9836529002542107
5577693,0.34015478847213565,0.7286554669882751
5865581,0.261723206814743,0.8223024046869609
5957492,0.20616883116881216,0.8677677761481267
6200741,0.1307598514124833,0.9445239158965968
6289350,0.21451344412244622,0.8637627489604178
6362291,0.10844748858442471,0.9619169939679243
6638682,0.34414273313997185,0.7188801975794891
6700716,0.06396780926145051,0.985507320211549
6708958,0.2720647619412383,0.8069544154058045
7114382,0.28911314575839536,0.7899113311646837
7310944,0.20833333333333345,0.8748413674893893
7316795,0.3258134490238605,0.7496616534237057
7373019,0.27247191011236055,0.8095152567714358
7620603,0.2752245113576334,0.8082658813689525
7688576,0.18917748917749186,0.8968033804430864
7847405,0.3208237429590217,0.7546067964029118
8348481,0.23477183563932383,0.8388216609943845
8503192,0.29986228089005146,0.776180533503902
8555844,0.08017986725916076,0.9737869625975615
8573429,0.19713912962389665,0.8839327787954273
8635407,0.19242902208199408,0.9019853876701972
8746874,0.1297819091884161,0.9434756059648116
8822529,0.08834865105247552,0.9753715618498977
8824899,0.2824919441459117,0.8014127990388382
9242542,0.12682167927203566,0.952711443711479
9259884,0.15803897685748983,0.9212985484068208
9274838,0.3598223610549754,0.7131653194594865
9333707,0.3303962248016973,0.7294981065176503
9417614,0.23246376811594205,0.8563795907570098
9707394,0.21549534292972725,0.875091586068217
9733371,0.27403612883832884,0.8059581433810439
Mean,0.2343211577983729,0.8415198232294385
