User,EER,AUC
1105159,0.20779220779203142,0.8376195215583123
1165247,0.08695652173913027,0.9791949102787177
1174404,0.10823356950887629,0.9606238293020605
1244132,0.17766497461975145,0.9152642990701676
1865189,0.034883720930596496,0.993966570843303
1961295,0.06373653894330535,0.986883599697529
1988613,0.19999999999999998,0.8914000249003985
2346653,0.1919020960813475,0.8900293019780172
2633840,0.1818181818181812,0.8880437613961969
2693592,0.08252427184479336,0.9747245786923232
2722493,0.1920799407835199,0.889179132310835
2750057,0.12758620689655176,0.9409385664039658
2886837,0.3456820716135962,0.7051365412951788
3084978,0.05893208661394664,0.9836137426181102
3130601,0.06666666666666661,0.981197418933268
3695167,0.2345132743362832,0.8610804992012513
3726809,0.15909090909080015,0.931374682019012
4148061,0.13638589618163324,0.9528954456415278
4179044,0.1761875385576433,0.8519971353003326
4542213,0.17146936656279,0.915621994322728
5150547,0.11963492846681353,0.9494473418375736
5254922,0.15194346289754743,0.9152881697149601
5286985,0.22885572139281193,0.8706498791239646
5362628,0.2205882352941191,0.8693374320929961
5577693,0.28915366662517206,0.8099404852224639
5865581,0.17604654104030673,0.9108052158979718
5957492,0.32268331497227254,0.7090964249788436
6200741,0.17925704313044896,0.9096917300951795
6289350,0.13513513513513528,0.9478819173941125
6362291,0.1655948553049818,0.9150966730290883
6638682,0.18666666666666681,0.8901939815966178
6700716,0.14659555996438306,0.9390978217083106
6708958,0.16197183098591544,0.9091234362697926
7114382,0.10344827586206896,0.9532479079917153
7310944,0.2990226401077938,0.7856198363991932
7316795,0.16300227445058996,0.9121600369439097
7373019,0.142857142857143,0.9348470089569647
7620603,0.06287771634410141,0.983809534137579
7688576,0.2051282051282065,0.8658541824979238
7847405,0.07288051561870987,0.9648416883906153
8348481,0.20833333333319545,0.8390967788146694
8503192,0.2214931286381324,0.8598478772251859
8555844,0.14989452785663726,0.9391107126296944
8573429,0.14084507042245575,0.9278916944593307
8635407,0.09434425223832936,0.9561238932227379
8746874,0.27027027027031014,0.8021473114088729
8822529,0.3947931077861354,0.6561188315778542
8824899,0.2255879817758032,0.8497323059152849
9242542,0.12154491608987174,0.9458677813425469
9259884,0.16846891128095995,0.9140201887805721
9274838,0.18163771712113008,0.8984350327092262
9333707,0.14874170527134148,0.9233980828602577
9417614,0.13592233009714638,0.9398631966940602
9707394,0.2059583897583953,0.8589458809927796
9733371,0.14090236686416702,0.9186914447731754
Mean,0.16993068693873897,0.900111041335441
