User,EER,AUC
1105159,0.08067398519314262,0.9761156182623018
1165247,0.168451579018881,0.8947172934117268
1174404,0.27582616568502355,0.7816604486348949
1244132,0.043869516310461217,0.9909371964492577
1865189,0.12710988632413678,0.9398464637944189
1961295,0.35175879396984827,0.7296452125595426
1988613,0.22007389441786646,0.8667056539051463
2346653,0.09023696240249693,0.9732526123684108
2633840,0.16163434587527808,0.9094855805019407
2693592,0.120689655172692,0.9436821049095766
2722493,0.14943751556197551,0.9241952675993735
2750057,0.03954674220783107,0.9946378326616925
2886837,0.1312849162011172,0.9324989493888516
3084978,0.10388638065149566,0.9496749707151243
3130601,0.17564195626592846,0.9142128316383576
3695167,0.22266401590457252,0.8689658275554605
3726809,0.16195622682514213,0.909995524357467
4148061,0.12658170438607116,0.9424154404887877
4179044,0.2549702807950426,0.8194966440033582
4542213,0.17881902940473343,0.9009701573741686
5150547,0.1518565824287623,0.9114563821052203
5254922,0.18362831858408188,0.9012531528348893
5286985,0.25520833333333337,0.834881246724244
5362628,0.032034269218401704,0.9914031734332706
5577693,0.23374999999975002,0.8409623248671406
5865581,0.24116902542793187,0.8502527670037461
5957492,0.18711104018909608,0.9015009859347572
6200741,0.08717194570023401,0.9632810495036132
6289350,0.13725756751770518,0.9099382443163186
6362291,0.0986646884273194,0.9702034431886472
6638682,0.29025762099758085,0.7984926772524672
6700716,0.15966386554621845,0.8908292047452304
6708958,0.13420430280268886,0.9378085240938613
7114382,0.03797468354430382,0.9941065559225608
7310944,0.15920398009950246,0.9338456133077633
7316795,0.3325766174803048,0.729755378597834
7373019,0.12362030905077115,0.9522325008053812
7620603,0.20098784194535835,0.8787843350612119
7688576,0.12297890935723979,0.9584100084257959
7847405,0.1226699282018389,0.9413526190292093
8348481,0.1726893045216033,0.884504491052749
8503192,0.14028296547742075,0.9107482591471666
8555844,0.01835781041388247,0.9977913982796118
8573429,0.14644351464435143,0.9414705856638205
8635407,0.1428571428571429,0.9322891804047095
8746874,0.2821459305222086,0.8242427837319783
8822529,0.12999298436232765,0.934733490619413
8824899,0.2713178294573644,0.8043566141597887
9242542,0.06250000000000003,0.9832048326579235
9259884,0.046883202849382064,0.9890531327348295
9274838,0.24651162790697675,0.8355338511146446
9333707,0.1964579149151805,0.8919677763531996
9417614,0.13644859813084095,0.935395433186503
9707394,0.20917073628977323,0.8717573056954148
9733371,0.12984841981611586,0.9456695623099042
Mean,0.1601638429925587,0.9079378275426305
